HEADER
ITEM:    zlo    zhi    bin-span    bin-count    measure    delimiter
-95.000000 70.000000   3.437500      48     pmass-local     |     

DATA
ITEM: binID    lo    hi    center    C    H    N    O    C|0    C|3    C|6    H|0    N|0    O|0    O|3    C|0|Sp3    C|3|Sp3    C|6|Sp2    H|0|Terminal    N|0|Sp2    O|0|Sp3    O|3|Sp3    C1008|[6]|    C11-H18-N2|[6]|C6    C11-H18-N2|[]|    C19-H20-O4|[3]|C2-O1    C19-H20-O4|[6]|C6    C19-H20-O4|[]|
21    -26.2500    -22.8125    -24.5312    74.1937    9.1756    8.4569    8.1739    26.7767    9.4834    37.9336    9.1756    8.4569    2.9723    5.2015    26.7767    9.4834    37.9336    9.1756    8.4569    2.9723    5.2015    0.0000    22.3139    35.7409    14.6849    15.6197    11.6405
22    -22.8125    -19.3750    -21.0938    100.0000    0.0000    0.0000    0.0000    0.0000    0.0000    100.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    100.0000    0.0000    0.0000    0.0000    0.0000    100.0000    0.0000    0.0000    0.0000    0.0000    0.0000
23    -19.3750    -15.9375    -17.6562    99.9251    0.0749    0.0000    0.0000    0.0000    0.0000    99.9251    0.0749    0.0000    0.0000    0.0000    0.0000    0.0000    99.9251    0.0749    0.0000    0.0000    0.0000    99.9251    0.0000    0.0416    0.0000    0.0000    0.0333
24    -15.9375    -12.5000    -14.2188    72.5536    6.9810    2.5528    17.9126    18.1384    13.1347    41.2805    6.9810    2.5528    7.0817    10.8309    18.1384    13.1347    41.2805    6.9810    2.5528    7.0817    10.8309    0.0000    9.6947    13.2273    23.9656    31.5858    21.5266
25    -12.5000    -9.0625    -10.7812    74.2956    7.5666    4.2058    13.9320    13.7050    11.5411    49.0496    7.5666    4.2058    8.1670    5.7650    13.7050    11.5411    49.0496    7.5666    4.2058    8.1670    5.7650    0.0000    7.2132    11.1618    17.3060    41.8364    22.4826
26    -9.0625    -5.6250    -7.3438    73.4319    7.2248    3.3219    16.0214    15.8258    13.6102    43.9958    7.2248    3.3219    8.8539    7.1674    15.8258    13.6102    43.9958    7.2248    3.3219    8.8539    7.1674    0.0000    7.2799    13.4129    20.7777    36.7159    21.8136
27    -5.6250    -2.1875    -3.9062    71.3441    6.9973    4.4509    17.2077    17.9094    12.9183    40.5164    6.9973    4.4509    7.8217    9.3860    17.9094    12.9183    40.5164    6.9973    4.4509    7.8217    9.3860    0.0000    11.4503    14.4251    22.3043    29.0661    22.7543
28    -2.1875    1.2500    -0.4688    75.7366    7.4103    2.3763    14.4767    14.2643    7.4718    54.0006    7.4103    2.3763    8.1432    6.3336    14.2643    7.4718    54.0006    7.4103    2.3763    8.1432    6.3336    0.0000    4.7548    9.4088    13.8053    49.2458    22.7853
29    1.2500    4.6875    2.9688    73.2182    6.6644    3.6123    16.5051    16.0517    12.6724    44.4941    6.6644    3.6123    8.2525    8.2525    16.0517    12.6724    44.4941    6.6644    3.6123    8.2525    8.2525    0.0000    10.4195    12.5432    20.9249    34.0746    22.0378
30    4.6875    8.1250    6.4062    71.5805    8.1569    2.1967    18.0660    18.4602    14.3161    38.8041    8.1569    2.1967    7.5275    10.5385    18.4602    14.3161    38.8041    8.1569    2.1967    7.5275    10.5385    0.0000    7.1580    12.0394    24.8546    31.6461    24.3019
31    8.1250    11.5625    9.8438    76.4945    6.7215    2.7985    13.9855    14.6989    10.1993    51.5963    6.7215    2.7985    9.1905    4.7950    14.6989    10.1993    51.5963    6.7215    2.7985    9.1905    4.7950    0.0000    6.2995    10.5099    14.9943    45.2968    22.8995
32    11.5625    15.0000    13.2812    74.0248    6.7490    4.6181    14.6081    17.3638    12.1852    44.4758    6.7490    4.6181    7.7098    6.8983    17.3638    12.1852    44.4758    6.7490    4.6181    7.7098    6.8983    0.0000    14.9268    17.0761    19.0834    29.5490    19.3647
33    15.0000    18.4375    16.7188    98.0159    0.6542    0.4435    0.8865    1.1408    0.3803    96.4948    0.6542    0.4435    0.0000    0.8865    1.1408    0.3803    96.4948    0.6542    0.4435    0.0000    0.8865    95.8293    0.4753    1.8801    1.2667    0.1901    0.3583
