Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,1700, C6,-23.26,76.89,0,0,0,0,0,0,-23.26,-17.69,-2.63
0.1, x-dummy-plane,473, C6,23.26,79.93,0,0,0,0,0,0,23.26,20.29,-24.82
0.1, x-dummy-plane,434, C6,-23.27,29.71,0,0,0,0,0,0,-23.27,18.79,23.74
0.1, x-dummy-plane,3948, C7,23.27,89.64,0,0,0,0,0,0,23.27,23.68,21.22
0.1, x-dummy-plane,1636, C6,-23.28,84.25,0,0,0,0,0,0,-23.28,21.76,-8.19
0.1, x-dummy-plane,1656, C6,-23.29,88.89,0,0,0,0,0,0,-23.29,-21.34,-1.73
0.1, x-dummy-plane,3376, C5,-23.29,37.36,0,0,0,0,0,0,-23.29,1.73,13.44
0.1, x-dummy-plane,1167, C6,-23.3,62.44,0,0,0,0,0,0,-23.3,15.21,-14.36
0.1, x-dummy-plane,3138, C6,23.31,47.31,0,0,0,0,0,0,23.31,13.93,10.36
0.1, x-dummy-plane,887, C6,-23.31,52.73,0,0,0,0,0,0,-23.31,-19.86,-13.66
0.1, x-dummy-plane,1249, C6,23.32,23.49,0,0,0,0,0,0,23.32,22.27,-12.24
0.1, x-dummy-plane,4081, C6,-23.33,74.46,0,0,0,0,0,0,-23.33,14.49,23.44
0.1, x-dummy-plane,2144, C7,23.34,63.04,0,0,0,0,0,0,23.34,-16.6,3.2
0.1, x-dummy-plane,1530, C6,23.34,58.16,0,0,0,0,0,0,23.34,4.8,-9.22
0.1, x-dummy-plane,1007, C6,-23.36,66.86,0,0,0,0,0,0,-23.36,-6.9,-13.59
0.1, x-dummy-plane,1815, C7,23.36,40.11,0,0,0,0,0,0,23.36,-9.3,-4.84
0.1, x-dummy-plane,1005, C6,-23.36,79.53,0,0,0,0,0,0,-23.36,-9.46,-13.79
0.1, x-dummy-plane,796, C6,23.37,63.7,0,0,0,0,0,0,23.37,10.44,-19.74
0.1, x-dummy-plane,2905, C5,23.38,46.41,0,0,0,0,0,0,23.38,-17.95,11.44
0.1, x-dummy-plane,2480, C7,23.39,65.53,0,0,0,0,0,0,23.39,-21.81,6.38
0.1, x-dummy-plane,3110, C6,-23.39,61.76,0,0,0,0,0,0,-23.39,14.93,8.7
0.1, x-dummy-plane,1129, C6,-23.39,72.92,0,0,0,0,0,0,-23.39,8.21,-13.17
0.1, x-dummy-plane,1949, C7,-23.4,20.19,0,0,0,0,0,0,-23.4,14.99,-5.08
0.1, x-dummy-plane,1602, C6,23.42,68.04,0,0,0,0,0,0,23.42,13.18,-8.63
