LAMMPS data file via write_data, version 29 Oct 2020, timestep = 1000

13106 atoms
3 atom types

-25.235742419685764 25.235742419685764 xlo xhi
-24.978811815914888 24.978811815914888 ylo yhi
-25.037656932017914 25.037656932017914 zlo zhi

Masses

1 12
2 1.008
3 15.999

Atoms # charge

1261 1 -0.0004505772141413407 -24.145991176043275 -20.119086554929908 -18.94881321971429 0 1 2
1152 1 0.0002976487787605779 -22.822961768583934 -22.39100496750314 -19.72660903615639 0 1 2
1151 1 -0.0003417183694743135 -23.926107188045 -21.418857512081512 -19.722556454046227 0 1 2
1 1 -0.0010724761183832227 -25.0847453757768 -21.99476710698575 -20.369294778922782 0 1 2
4 1 0.0009572908474064674 -23.187429103770846 -23.369339830138056 -20.77167075411709 0 0 2
2 1 0.0002245766234399392 -24.631102425670164 -23.361120151068018 -20.660014930470776 0 0 2
6 1 0.0009446759619727955 -22.306047727028755 -24.10601581792649 -21.785909336885954 0 1 2
1159 1 0.0012990464523566815 -20.331901962246853 -20.44532243135863 -19.63705922419841 0 0 2
7 1 0.0012934479379594042 -21.940096649184248 -23.57447005169385 -23.150812293970386 0 0 2
10 1 0.0011802573023649843 -20.13416433798388 -21.555632682814437 -22.596336583437843 0 0 2
8 1 0.0006898711840073977 -21.042417235627322 -22.408151238333748 -23.346875702243093 0 0 2
1272 1 0.0013188303744471747 -19.920944870514717 -19.194757112962776 -20.314978423225796 0 0 1
1160 1 7.82065695486868e-05 -19.74221204331014 -21.7428103517569 -20.027893442421462 0 0 2
12 1 0.00038101076369008446 -19.549175389558798 -22.153590290700777 -21.386694343585003 0 0 2
1161 1 -0.001419086265932363 -19.357895194350068 -24.221864636087226 -19.51561161073161 0 1 2
5 1 0.001057080477305114 -22.640042935891408 -23.996572067163907 -24.378013596087246 0 1 2
13 1 0.0001994416273963448 -19.448628745680125 -20.56733743525901 -23.464548758424762 0 0 2
3 1 0.0007708330450267933 -23.751501848826706 -24.71931711948729 -24.601782774913588 0 1 2
1163 1 -0.0022753638722517264 -19.133784314665373 -22.787094851810163 -19.16568118789675 0 1 2
9 1 0.0009951505784566647 -20.60332623026981 -22.065114674049305 -24.694968705121106 0 0 2
11 1 0.0005247019972110904 -19.727283391295686 -20.851930009471516 -24.82602383849255 0 0 2
1158 1 -0.004740547871698997 -20.459183972540956 -24.828505928415822 -18.86835230864689 0 1 2
1170 1 -6.252316226184121e-05 -16.237057343987026 -21.213221247978137 -20.015758000660615 -1 0 2
1173 1 -0.0008104565193448147 -15.39634797748039 -22.358683865098076 -19.8795778802437 0 0 2
17 1 0.0010976867853715738 -16.954317917689472 -20.975310195145475 -21.277419462697896 0 0 1
15 1 -0.0019194156200186621 -18.16092642015948 -24.35852212922108 -21.622278687861193 0 0 2
106 1 0.0005613947183206441 -17.80230240204055 -19.903970148222133 -21.7708206837663 0 0 2
21 1 0.0010270572605766276 -14.599514076334113 -22.77460687836239 -21.007227391867215 0 0 1
14 1 -0.00013112315986316125 -18.408946879671248 -22.89844016310765 -21.936834601362758 0 0 2
16 1 0.0005793579228353975 -17.230246150009563 -22.08256090511365 -22.21275193706131 0 0 1
20 1 0.0020400597764124104 -14.786102386837458 -22.586227706251467 -22.426206324012703 0 0 1
19 1 0.0004361439715090433 -16.09253850385298 -22.5616703074544 -23.051083472970173 0 0 1
1284 1 -0.0009442499954820244 -13.768430787878902 -19.187796892415275 -19.1835192241651 0 0 2
105 1 4.9002698612604645e-06 -18.146305112453803 -19.881596563760453 -23.226247069934995 0 0 2
22 1 0.00031424129387066374 -13.555953162576783 -23.054694307724564 -23.128769560657467 0 0 1
103 1 0.0011402779152175843 -18.623255085039265 -18.976920731708873 -20.908545579130724 0 0 2
23 1 -0.0012484846113967572 -13.391955701740367 -23.56719146508146 -20.862061160561797 0 0 2
18 1 0.001100492608692067 -16.52592962830131 -23.463032190341497 -24.136722179494726 0 0 2
107 1 -0.00016338640393177492 -17.350502529978513 -19.036374913564 -24.08062171700841 0 0 2
24 1 0.00022869267916944547 -13.212827089518584 -22.45527915781027 -24.396053572222282 -1 0 2
1177 1 -0.004298677330005933 -12.977305096862773 -24.00196518732074 -19.56486467144081 0 0 2
1287 1 -0.0007722794360683002 -12.799522070657552 -19.110577162798375 -20.23943613761064 0 0 2
1169 1 -0.0003522162482775329 -16.782588131227037 -20.49278848426568 -18.8055153379524 0 0 1
1369 1 -0.0007862191875388364 -23.658787537167125 -14.063201932276124 -20.040185450475438 0 1 2
207 1 -0.0011109345695352914 -23.611982227487673 -14.868261019594426 -21.230235361590015 0 0 1
203 1 -0.001537595267959907 -24.70856707752421 -15.818880461872968 -21.26415319703661 0 0 1
208 1 -0.0015358106292802445 -22.54345110989694 -15.22404151639718 -22.1952676253129 1 1 2
210 1 -4.2801275386278315e-06 -21.348473390792243 -14.459777267669935 -22.062860577600944 0 1 2
99 1 -0.0009213021073364858 -24.405242642136976 -16.581456473444987 -22.462984782312486 0 0 1
1270 1 -0.00016395206172539062 -20.65204132251995 -17.968251019482835 -19.8923426897518 0 0 2
1376 1 0.0005631500298574794 -20.20564293774717 -13.084750347228084 -19.029167691253274 0 0 2
1375 1 0.0006709616404873275 -20.192628242151084 -15.856315597947063 -19.186175464982828 0 0 2
100 1 -0.001417694440191946 -23.250617367805372 -16.085738582260376 -23.15356871052693 0 1 2
1271 1 -0.0003886406304557076 -20.098049002489102 -16.71564413276616 -20.320813358204727 0 0 2
213 1 0.0007531495739061117 -19.978495486290036 -14.549517303258956 -22.439115872901546 0 0 2
