Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane, 24, C4-O1, 14.50, 61.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.50, -7.54, -10.46
0.1, x-dummy-plane, 80, C4-O1, -14.51, 122.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.51, 16.98, -7.46
0.1, x-dummy-plane, 1, C4-O1, -14.53, 67.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.53, -10.87, -5.49
0.1, x-dummy-plane, 17, C4-O1, -14.54, 146.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.54, 0.30, -15.80
0.1, x-dummy-plane, 252, C4-O1, 14.55, 83.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.55, 8.62, 6.89
0.1, x-dummy-plane, 31, C6, -14.60, 102.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.60, -6.53, -8.38
0.1, x-dummy-plane, 104, C6, -14.61, 134.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.61, 7.32, -8.59
0.1, x-dummy-plane, 407, C4-O1, 14.61, 79.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.61, -5.42, 16.38
0.1, x-dummy-plane, 241, C4-O1, 14.66, 36.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.66, 15.59, 5.33
0.1, x-dummy-plane, 388, C4-O1, 14.75, 19.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.75, 12.88, -17.41
0.1, x-dummy-plane, 8, C4-O1, 14.76, 101.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.76, -3.57, -7.40
0.1, x-dummy-plane, 110, C4-O1, 14.78, 70.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.78, 2.25, 0.83
0.1, x-dummy-plane, 177, C4-O1, 14.86, 96.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14.86, -14.09, 4.35
0.1, x-dummy-plane, 393, C4-O1, -14.87, 33.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.87, -17.99, 12.50
0.1, x-dummy-plane, 171, C4-O1, -14.90, 84.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.90, -0.28, 0.85
0.1, x-dummy-plane, 370, C4-O1, -14.95, 64.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.95, 15.41, 19.18
0.1, x-dummy-plane, 392, C6, -14.97, 160.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -14.97, -18.96, 14.38
0.1, x-dummy-plane, 185, C4-O1, 15.08, 127.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.08, 12.04, -6.57
0.1, x-dummy-plane, 251, C4-O1, -15.09, 47.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.09, 9.65, 3.06
0.1, x-dummy-plane, 220, C4-O1, -15.18, 46.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.18, 5.91, 10.94
0.1, x-dummy-plane, 318, C4-O1, 15.22, 163.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.22, -1.65, 9.83
0.1, x-dummy-plane, 401, C4-O1, 15.22, 105.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.22, 9.15, 13.67
0.1, x-dummy-plane, 169, C6, -15.23, 46.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.23, -4.29, 4.17
0.1, x-dummy-plane, 159, C4-O1, -15.24, 100.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.24, -4.65, -0.72
0.1, x-dummy-plane, 330, C4-O1, 15.26, 40.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.26, 0.22, -12.92
0.1, x-dummy-plane, 246, C4-O1, -15.33, 3.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.33, -17.79, -3.94
0.1, x-dummy-plane, 245, C4-O1, -15.42, 11.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.42, 16.04, -2.48
0.1, x-dummy-plane, 410, C4-O1, 15.42, 86.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.42, -6.67, -2.90
0.1, x-dummy-plane, 247, C4-O1, -15.46, 52.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.46, -18.62, 1.43
0.1, x-dummy-plane, 292, C4-O1, -15.56, 114.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.56, -8.12, -17.10
0.1, x-dummy-plane, 223, C4-O1, 15.60, 104.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.60, -17.80, 7.68
0.1, x-dummy-plane, 369, C4-O1, -15.73, 50.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.73, 4.54, 15.50
0.1, x-dummy-plane, 95, C4-O1, 15.79, 48.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.79, 2.56, -7.21
0.1, x-dummy-plane, 96, C4-O1, 15.87, 120.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.87, 2.92, -6.32
0.1, x-dummy-plane, 23, C4-O1, -15.93, 85.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -15.93, -2.02, -11.82
0.1, x-dummy-plane, 295, C4-O1, 15.99, 104.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15.99, 0.65, 17.84
0.1, x-dummy-plane, 322, C6, 16.01, 83.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.01, -9.07, 18.10
0.1, x-dummy-plane, 81, C4-O1, -16.11, 121.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.11, 9.29, -3.78
0.1, x-dummy-plane, 394, C4-O1, -16.15, 32.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.15, -13.93, 14.23
0.1, x-dummy-plane, 79, C4-O1, -16.16, 103.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.16, 12.93, -6.15
0.1, x-dummy-plane, 94, C6, 16.29, 163.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.29, 2.68, -6.79
0.1, x-dummy-plane, 236, C4-O1, 16.30, 47.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.30, 13.94, 2.23
0.1, x-dummy-plane, 97, C4-O1, 16.31, 27.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.31, 3.56, -4.81
0.1, x-dummy-plane, 102, C4-O1, 16.45, 80.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.45, 18.81, -16.49
0.1, x-dummy-plane, 158, C4-O1, -16.46, 139.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.46, -5.29, 0.15
0.1, x-dummy-plane, 317, C6, 16.47, 100.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.47, -1.28, 11.23
0.1, x-dummy-plane, 108, C4-O1, -16.51, 34.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -16.51, 3.93, -6.04
0.1, x-dummy-plane, 229, C6, 16.55, 30.74, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16.55, 17.19, -0.88
