Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane, 175, C6, 0.02, 145.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, -4.49, -5.45
0.1, x-dummy-plane, 67, C4-O1, -0.02, 16.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.02, -15.31, -12.91
0.1, x-dummy-plane, 264, C4-O1, -0.04, 82.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.04, 17.66, 3.50
0.1, x-dummy-plane, 382, C4-O1, 0.07, 57.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, -10.24, 8.18
0.1, x-dummy-plane, 270, C4-O1, -0.10, 87.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.10, 8.82, 4.96
0.1, x-dummy-plane, 173, C4-O1, 0.17, 62.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, -9.34, 3.06
0.1, x-dummy-plane, 129, C6, -0.24, 35.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.24, 14.56, -9.95
0.1, x-dummy-plane, 130, C4-O1, 0.26, 31.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.26, 14.95, -7.91
0.1, x-dummy-plane, 187, C4-O1, -0.27, 54.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.27, -7.12, -0.86
0.1, x-dummy-plane, 397, C4-O1, 0.32, 73.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.32, 6.50, 12.98
0.1, x-dummy-plane, 176, C4-O1, 0.37, 65.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.37, -4.59, -4.90
0.1, x-dummy-plane, 64, C4-O1, -0.39, 98.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.39, -18.25, -17.97
0.1, x-dummy-plane, 338, C4-O1, -0.43, 71.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.43, -5.21, 6.24
0.1, x-dummy-plane, 177, C4-O1, 0.54, 52.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.54, -4.14, -5.77
0.1, x-dummy-plane, 345, C4-O1, 0.61, 126.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.61, -14.91, 15.65
0.1, x-dummy-plane, 342, C4-O1, -0.62, 62.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.62, -11.84, 12.47
0.1, x-dummy-plane, 410, C6, 0.64, 120.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.64, 1.27, 14.89
0.1, x-dummy-plane, 178, C4-O1, 0.65, 49.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.65, -3.46, -7.23
0.1, x-dummy-plane, 181, C4-O1, 0.67, 54.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.67, -3.09, -1.50
0.1, x-dummy-plane, 103, C4-O1, -0.75, 134.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.75, 15.78, -2.61
0.1, x-dummy-plane, 322, C4-O1, -0.83, 123.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.83, 18.49, 11.32
0.1, x-dummy-plane, 199, C4-O1, -0.87, 117.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.87, -14.08, -4.83
0.1, x-dummy-plane, 249, C4-O1, -0.95, 97.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.95, 13.59, 0.65
0.1, x-dummy-plane, 411, C4-O1, 0.96, 112.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.96, -0.71, 14.23
0.1, x-dummy-plane, 388, C4-O1, -0.97, 90.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.97, 6.57, 17.82
0.1, x-dummy-plane, 200, C4-O1, 1.04, 94.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.04, -15.01, 1.34
0.1, x-dummy-plane, 109, C4-O1, 1.13, 76.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.13, 3.02, 7.49
0.1, x-dummy-plane, 37, C4-O1, 1.20, 120.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.20, -17.35, -7.45
0.1, x-dummy-plane, 180, C4-O1, 1.28, 44.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.28, -7.38, -9.45
0.1, x-dummy-plane, 41, C4-O1, -1.32, 97.78, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.32, -11.84, -12.43
0.1, x-dummy-plane, 104, C4-O1, 1.33, 130.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.33, -18.85, -0.44
0.1, x-dummy-plane, 341, C6, -1.35, 141.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.35, -11.42, 14.42
0.1, x-dummy-plane, 266, C6, 1.38, 62.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.38, 6.18, 1.12
0.1, x-dummy-plane, 124, C4-O1, 1.38, 5.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.38, 5.86, -13.18
0.1, x-dummy-plane, 343, C4-O1, 1.51, 70.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.51, -7.88, 12.01
0.1, x-dummy-plane, 337, C6, -1.54, 48.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.54, -3.76, 7.32
0.1, x-dummy-plane, 120, C4-O1, -1.56, 97.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.56, 8.19, -15.43
0.1, x-dummy-plane, 119, C4-O1, -1.56, 74.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.56, 7.46, -14.81
0.1, x-dummy-plane, 192, C4-O1, 1.58, 46.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.58, 1.24, -4.45
0.1, x-dummy-plane, 240, C4-O1, -1.59, 151.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.59, 10.33, 10.07
0.1, x-dummy-plane, 107, C4-O1, 1.62, 52.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.62, 14.88, -16.89
0.1, x-dummy-plane, 63, C6, -1.65, 102.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.65, -16.87, -16.94
0.1, x-dummy-plane, 339, C4-O1, 1.66, 64.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.66, -2.23, 3.34
0.1, x-dummy-plane, 44, C4-O1, 1.73, 110.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.73, 16.51, 16.32
0.1, x-dummy-plane, 395, C4-O1, 1.77, 79.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.77, 6.97, 7.89
0.1, x-dummy-plane, 179, C4-O1, -1.78, 47.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.78, 0.35, -6.03
0.1, x-dummy-plane, 118, C6, -1.78, 109.85, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.78, 8.07, -14.81
0.1, x-dummy-plane, 121, C4-O1, -1.80, 106.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -1.80, 9.55, -16.36
0.1, x-dummy-plane, 251, C4-O1, 1.82, 117.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.82, 10.44, -1.32
0.1, x-dummy-plane, 182, C4-O1, 1.89, 23.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.89, -7.71, -3.67
0.1, x-dummy-plane, 70, C4-O1, 1.97, 63.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.97, 5.22, -7.66
0.1, x-dummy-plane, 122, C4-O1, 1.99, 88.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.99, 11.28, -14.70
0.1, x-dummy-plane, 271, C4-O1, -2.00, 102.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.00, 3.84, -1.12
0.1, x-dummy-plane, 61, C4-O1, 2.01, 69.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.01, -2.89, -18.97
0.1, x-dummy-plane, 318, C4-O1, 2.01, 149.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.01, -15.70, 10.24
0.1, x-dummy-plane, 402, C4-O1, -2.03, 67.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.03, 8.61, 14.97
0.1, x-dummy-plane, 48, C4-O1, -2.09, 89.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.09, -9.75, -18.25
0.1, x-dummy-plane, 247, C6-O1, -2.16, 55.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.16, 11.92, 1.21
0.1, x-dummy-plane, 141, C4-O1, -2.20, 53.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.20, 3.63, 4.42
0.1, x-dummy-plane, 117, C4-O1, 2.25, 105.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.25, 11.74, -11.06
