z-Postion, natoms C2-O1, natoms C3, natoms C4-O1, natoms C5-O1, natoms C5-O2, natoms C6, natoms C6-O1, natoms N/A
-19.5, 0, 0, 0, 0, 0, 0, 0, 0
-18.5, 0, 0, 22, 0, 0, 0, 0, 65
-17.5, 0, 0, 47, 0, 0, 0, 0, 85
-16.5, 0, 2, 38, 0, 0, 2, 0, 76
-15.5, 0, 1, 44, 0, 0, 6, 0, 87
-14.5, 0, 0, 36, 0, 0, 0, 0, 87
-13.5, 0, 1, 48, 0, 0, 3, 0, 65
-12.5, 0, 1, 54, 0, 0, 3, 0, 75
-11.5, 0, 1, 37, 0, 0, 4, 0, 86
-10.5, 0, 1, 38, 0, 0, 4, 0, 58
-9.5, 0, 2, 41, 0, 0, 6, 0, 77
-8.5, 0, 1, 46, 0, 0, 2, 0, 79
-7.5, 0, 2, 45, 0, 0, 2, 0, 59
-6.5, 0, 0, 43, 0, 0, 2, 0, 85
-5.5, 0, 0, 42, 0, 0, 2, 0, 73
-4.5, 0, 0, 43, 0, 0, 0, 0, 80
-3.5, 0, 0, 45, 0, 0, 1, 0, 86
-2.5, 0, 1, 41, 0, 0, 4, 0, 79
-1.5, 0, 0, 50, 0, 0, 3, 0, 92
-0.5, 0, 1, 36, 0, 0, 2, 0, 93
0.5, 0, 2, 44, 0, 0, 4, 0, 67
1.5, 1, 0, 52, 0, 0, 1, 0, 81
2.5, 2, 0, 50, 0, 0, 1, 2, 62
3.5, 0, 0, 50, 0, 0, 6, 0, 71
4.5, 0, 2, 39, 0, 0, 2, 0, 65
5.5, 0, 2, 33, 0, 0, 4, 0, 89
6.5, 0, 2, 40, 0, 0, 1, 0, 100
7.5, 0, 0, 32, 0, 0, 3, 0, 82
8.5, 0, 0, 37, 0, 0, 4, 0, 78
9.5, 0, 0, 33, 0, 0, 0, 0, 92
10.5, 0, 1, 45, 0, 0, 3, 0, 87
11.5, 0, 2, 53, 0, 2, 1, 0, 80
12.5, 0, 0, 55, 1, 2, 0, 0, 75
13.5, 0, 0, 52, 2, 2, 2, 0, 62
14.5, 0, 2, 58, 3, 1, 6, 0, 75
15.5, 2, 2, 46, 0, 0, 6, 0, 54
16.5, 1, 0, 45, 0, 0, 4, 0, 82
17.5, 0, 0, 28, 0, 0, 4, 0, 62
18.5, 0, 0, 37, 0, 0, 2, 0, 68
19.5, 0, 0, 0, 0, 0, 0, 0, 0
