Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane, 128, C4-O1, 0.07, 33.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 14.99, -7.94
0.1, x-dummy-plane, 172, C4-O1, 0.07, 61.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, -9.86, 3.46
0.1, x-dummy-plane, 343, C4-O1, -0.09, 116.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.09, -15.72, 15.01
0.1, x-dummy-plane, 175, C6, -0.16, 161.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.16, -4.31, -5.22
0.1, x-dummy-plane, 176, C4-O1, 0.17, 68.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, -4.34, -4.65
0.1, x-dummy-plane, 249, C4-O1, -0.18, 106.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.18, 13.07, 1.38
0.1, x-dummy-plane, 179, C4-O1, -0.21, 24.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.21, -8.28, -8.54
0.1, x-dummy-plane, 102, C4-O1, 0.28, 118.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.28, 14.83, -2.27
0.1, x-dummy-plane, 65, C4-O1, -0.35, 2.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.35, -15.29, -12.81
0.1, x-dummy-plane, 340, C4-O1, 0.39, 80.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.39, -12.48, 12.60
0.1, x-dummy-plane, 177, C4-O1, 0.41, 139.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.41, -4.21, -5.57
0.1, x-dummy-plane, 336, C4-O1, 0.44, 85.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.44, -5.46, 6.79
0.1, x-dummy-plane, 37, C4-O1, 0.53, 122.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.53, -17.12, -6.91
0.1, x-dummy-plane, 68, C4-O1, -0.54, 152.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.54, 5.65, -8.26
0.1, x-dummy-plane, 186, C4-O1, -0.57, 62.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.57, -6.48, -0.36
0.1, x-dummy-plane, 270, C4-O1, 0.60, 87.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 9.21, 5.47
0.1, x-dummy-plane, 410, C6, 0.60, 118.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 1.57, 15.37
0.1, x-dummy-plane, 178, C4-O1, 0.61, 47.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.61, -3.99, -7.19
0.1, x-dummy-plane, 127, C6, -0.62, 41.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.62, 14.65, -9.93
0.1, x-dummy-plane, 387, C4-O1, -0.66, 93.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.66, 6.09, 18.38
0.1, x-dummy-plane, 122, C4-O1, 0.75, 18.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.75, 5.63, -13.65
