Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,40, C6,-20.05,75.99,0,0,0,0,0,0,-20.05,27.79,-23.32
0.1, x-dummy-plane,178, C6,20.09,81.32,0,0,0,0,0,0,20.09,-27.78,26.79
0.1, x-dummy-plane,137, C6,20.33,72.25,0,0,0,0,0,0,20.33,2.79,25.96
0.1, x-dummy-plane,343, C6,20.42,81.68,0,0,0,0,0,0,20.42,-21.44,-21.77
0.1, x-dummy-plane,136, C6,20.43,72.25,0,0,0,0,0,0,20.43,1.17,24.12
0.1, x-dummy-plane,328, C6,20.44,81.68,0,0,0,0,0,0,20.44,-24.16,-25.04
0.1, x-dummy-plane,320, C6,20.46,81.68,0,0,0,0,0,0,20.46,-26.89,-28.3
0.1, x-dummy-plane,184, C6,20.53,81.32,0,0,0,0,0,0,20.53,-23.82,25.3
0.1, x-dummy-plane,128, C6,20.54,72.25,0,0,0,0,0,0,20.54,-0.46,22.27
0.1, x-dummy-plane,127, C6,20.65,72.25,0,0,0,0,0,0,20.65,-2.08,20.43
0.1, x-dummy-plane,48, C6,-20.65,75.99,0,0,0,0,0,0,-20.65,25.16,-26.61
0.1, x-dummy-plane,197, C6,20.97,81.32,0,0,0,0,0,0,20.97,-19.85,23.82
0.1, x-dummy-plane,215, C6,-21.13,86.88,0,0,0,0,0,0,-21.13,23.59,29.25
0.1, x-dummy-plane,214, C6,-21.21,86.88,0,0,0,0,0,0,-21.21,24.47,26.96
0.1, x-dummy-plane,63, C6,-21.26,75.99,0,0,0,0,0,0,-21.26,22.53,-29.9
0.1, x-dummy-plane,220, C6,-21.3,86.88,0,0,0,0,0,0,-21.3,25.35,24.67
0.1, x-dummy-plane,219, C6,-21.38,86.88,0,0,0,0,0,0,-21.38,26.22,22.37
0.1, x-dummy-plane,225, C6,-21.47,86.88,0,0,0,0,0,0,-21.47,27.1,20.08
0.1, x-dummy-plane,185, C6,21.51,81.32,0,0,0,0,0,0,21.51,-25.98,25.91
0.1, x-dummy-plane,47, C6,-21.53,75.99,0,0,0,0,0,0,-21.53,26.34,-24.64
0.1, x-dummy-plane,350, C6,21.62,81.68,0,0,0,0,0,0,21.62,-20.21,-20.02
0.1, x-dummy-plane,335, C6,21.65,81.68,0,0,0,0,0,0,21.65,-22.93,-23.28
0.1, x-dummy-plane,327, C6,21.67,81.68,0,0,0,0,0,0,21.67,-25.66,-26.55
0.1, x-dummy-plane,191, C6,21.96,81.32,0,0,0,0,0,0,21.96,-22.02,24.43
0.1, x-dummy-plane,55, C6,-22.13,75.99,0,0,0,0,0,0,-22.13,23.71,-27.93
0.1, x-dummy-plane,139, C6,22.19,72.25,0,0,0,0,0,0,22.19,4.79,29.21
0.1, x-dummy-plane,138, C6,22.3,72.25,0,0,0,0,0,0,22.3,3.17,27.37
0.1, x-dummy-plane,204, C6,22.4,81.32,0,0,0,0,0,0,22.4,-18.06,22.94
0.1, x-dummy-plane,130, C6,22.4,72.25,0,0,0,0,0,0,22.4,1.55,25.53
0.1, x-dummy-plane,39, C6,-22.41,75.99,0,0,0,0,0,0,-22.41,27.53,-22.68
0.1, x-dummy-plane,179, C6,22.5,81.32,0,0,0,0,0,0,22.5,-28.14,26.53
0.1, x-dummy-plane,129, C6,22.51,72.25,0,0,0,0,0,0,22.51,-0.07,23.69
0.1, x-dummy-plane,121, C6,22.62,72.25,0,0,0,0,0,0,22.62,-1.7,21.85
0.1, x-dummy-plane,120, C6,22.73,72.25,0,0,0,0,0,0,22.73,-3.32,20.01
0.1, x-dummy-plane,70, C6,-22.73,75.99,0,0,0,0,0,0,-22.73,21.08,-31.22
0.1, x-dummy-plane,342, C6,22.85,81.68,0,0,0,0,0,0,22.85,-21.7,-21.53
0.1, x-dummy-plane,334, C6,22.87,81.68,0,0,0,0,0,0,22.87,-24.43,-24.8
0.1, x-dummy-plane,319, C6,22.89,81.68,0,0,0,0,0,0,22.89,-27.15,-28.06
0.1, x-dummy-plane,192, C6,22.94,81.32,0,0,0,0,0,0,22.94,-24.18,25.04
0.1, x-dummy-plane,54, C6,-23.01,75.99,0,0,0,0,0,0,-23.01,24.9,-25.97
0.1, x-dummy-plane,217, C6,-23.12,86.88,0,0,0,0,0,0,-23.12,22.14,32.72
0.1, x-dummy-plane,216, C6,-23.21,86.88,0,0,0,0,0,0,-23.21,23.02,30.42
0.1, x-dummy-plane,38, C6,-23.29,75.99,0,0,0,0,0,0,-23.29,28.71,-20.72
0.1, x-dummy-plane,222, C6,-23.29,86.88,0,0,0,0,0,0,-23.29,23.9,28.13
0.1, x-dummy-plane,221, C6,-23.38,86.88,0,0,0,0,0,0,-23.38,24.77,25.84
0.1, x-dummy-plane,198, C6,23.39,81.32,0,0,0,0,0,0,23.39,-20.22,23.56
0.1, x-dummy-plane,227, C6,-23.46,86.88,0,0,0,0,0,0,-23.46,25.65,23.55
0.1, x-dummy-plane,180, C6,23.49,81.32,0,0,0,0,0,0,23.49,-30.31,27.14
0.1, x-dummy-plane,226, C6,-23.55,86.88,0,0,0,0,0,0,-23.55,26.53,21.25
0.1, x-dummy-plane,62, C6,-23.61,75.99,0,0,0,0,0,0,-23.61,22.27,-29.26
0.1, x-dummy-plane,232, C6,-23.63,86.88,0,0,0,0,0,0,-23.63,27.4,18.96
0.1, x-dummy-plane,46, C6,-23.89,75.99,0,0,0,0,0,0,-23.89,26.08,-24.01
0.1, x-dummy-plane,186, C6,23.93,81.32,0,0,0,0,0,0,23.93,-26.35,25.65
0.1, x-dummy-plane,349, C6,24.05,81.68,0,0,0,0,0,0,24.05,-20.47,-19.78
0.1, x-dummy-plane,341, C6,24.08,81.68,0,0,0,0,0,0,24.08,-23.2,-23.05
0.1, x-dummy-plane,326, C6,24.1,81.68,0,0,0,0,0,0,24.1,-25.92,-26.31
0.1, x-dummy-plane,318, C6,24.12,81.68,0,0,0,0,0,0,24.12,-28.65,-29.58
0.1, x-dummy-plane,140, C6,24.16,72.25,0,0,0,0,0,0,24.16,5.18,30.63
0.1, x-dummy-plane,132, C6,24.27,72.25,0,0,0,0,0,0,24.27,3.55,28.79
0.1, x-dummy-plane,199, C6,24.37,81.32,0,0,0,0,0,0,24.37,-22.39,24.17
0.1, x-dummy-plane,131, C6,24.37,72.25,0,0,0,0,0,0,24.37,1.93,26.95
0.1, x-dummy-plane,123, C6,24.48,72.25,0,0,0,0,0,0,24.48,0.31,25.11
0.1, x-dummy-plane,61, C6,-24.49,75.99,0,0,0,0,0,0,-24.49,23.45,-27.3
0.1, x-dummy-plane,122, C6,24.59,72.25,0,0,0,0,0,0,24.59,-1.31,23.27
0.1, x-dummy-plane,114, C6,24.7,72.25,0,0,0,0,0,0,24.7,-2.93,21.42
0.1, x-dummy-plane,45, C6,-24.77,75.99,0,0,0,0,0,0,-24.77,27.27,-22.04
0.1, x-dummy-plane,113, C6,24.8,72.25,0,0,0,0,0,0,24.8,-4.56,19.58
0.1, x-dummy-plane,205, C6,24.81,81.32,0,0,0,0,0,0,24.81,-18.42,22.68
0.1, x-dummy-plane,187, C6,24.91,81.32,0,0,0,0,0,0,24.91,-28.51,26.27
0.1, x-dummy-plane,69, C6,-25.09,75.99,0,0,0,0,0,0,-25.09,20.83,-30.59
0.1, x-dummy-plane,348, C6,25.28,81.68,0,0,0,0,0,0,25.28,-21.97,-21.3
0.1, x-dummy-plane,224, C6,-25.29,86.88,0,0,0,0,0,0,-25.29,22.45,31.6
0.1, x-dummy-plane,333, C6,25.3,81.68,0,0,0,0,0,0,25.3,-24.69,-24.56
0.1, x-dummy-plane,325, C6,25.32,81.68,0,0,0,0,0,0,25.32,-27.42,-27.83
0.1, x-dummy-plane,193, C6,25.36,81.32,0,0,0,0,0,0,25.36,-24.55,24.78
0.1, x-dummy-plane,53, C6,-25.37,75.99,0,0,0,0,0,0,-25.37,24.64,-25.33
0.1, x-dummy-plane,223, C6,-25.37,86.88,0,0,0,0,0,0,-25.37,23.32,29.31
0.1, x-dummy-plane,229, C6,-25.46,86.88,0,0,0,0,0,0,-25.46,24.2,27.01
0.1, x-dummy-plane,228, C6,-25.54,86.88,0,0,0,0,0,0,-25.54,25.08,24.72
0.1, x-dummy-plane,234, C6,-25.63,86.88,0,0,0,0,0,0,-25.63,25.95,22.43
0.1, x-dummy-plane,37, C6,-25.65,75.99,0,0,0,0,0,0,-25.65,28.45,-20.08
0.1, x-dummy-plane,233, C6,-25.71,86.88,0,0,0,0,0,0,-25.71,26.83,20.13
0.1, x-dummy-plane,239, C6,-25.8,86.88,0,0,0,0,0,0,-25.8,27.71,17.84
0.1, x-dummy-plane,206, C6,25.8,81.32,0,0,0,0,0,0,25.8,-20.59,23.3
0.1, x-dummy-plane,181, C6,25.9,81.32,0,0,0,0,0,0,25.9,-30.68,26.88
0.1, x-dummy-plane,68, C6,-25.97,75.99,0,0,0,0,0,0,-25.97,22.01,-28.62
0.1, x-dummy-plane,133, C6,26.24,72.25,0,0,0,0,0,0,26.24,3.94,30.2
0.1, x-dummy-plane,52, C6,-26.25,75.99,0,0,0,0,0,0,-26.25,25.82,-23.37
0.1, x-dummy-plane,194, C6,26.34,81.32,0,0,0,0,0,0,26.34,-26.72,25.39
0.1, x-dummy-plane,125, C6,26.34,72.25,0,0,0,0,0,0,26.34,2.31,28.36
0.1, x-dummy-plane,124, C6,26.45,72.25,0,0,0,0,0,0,26.45,0.69,26.52
0.1, x-dummy-plane,340, C6,26.51,81.68,0,0,0,0,0,0,26.51,-23.46,-22.81
0.1, x-dummy-plane,36, C6,-26.53,75.99,0,0,0,0,0,0,-26.53,29.64,-18.11
0.1, x-dummy-plane,332, C6,26.53,81.68,0,0,0,0,0,0,26.53,-26.19,-26.08
0.1, x-dummy-plane,317, C6,26.55,81.68,0,0,0,0,0,0,26.55,-28.91,-29.34
0.1, x-dummy-plane,116, C6,26.56,72.25,0,0,0,0,0,0,26.56,-0.93,24.68
0.1, x-dummy-plane,115, C6,26.67,72.25,0,0,0,0,0,0,26.67,-2.55,22.84
0.1, x-dummy-plane,107, C6,26.77,72.25,0,0,0,0,0,0,26.77,-4.17,21
0.1, x-dummy-plane,200, C6,26.79,81.32,0,0,0,0,0,0,26.79,-22.75,23.91
0.1, x-dummy-plane,60, C6,-26.85,75.99,0,0,0,0,0,0,-26.85,23.19,-26.66
0.1, x-dummy-plane,106, C6,26.88,72.25,0,0,0,0,0,0,26.88,-5.8,19.16
0.1, x-dummy-plane,182, C6,26.89,81.32,0,0,0,0,0,0,26.89,-32.84,27.49
0.1, x-dummy-plane,44, C6,-27.13,75.99,0,0,0,0,0,0,-27.13,27.01,-21.4
0.1, x-dummy-plane,188, C6,27.33,81.32,0,0,0,0,0,0,27.33,-28.88,26.01
0.1, x-dummy-plane,231, C6,-27.45,86.88,0,0,0,0,0,0,-27.45,22.75,30.48
0.1, x-dummy-plane,230, C6,-27.54,86.88,0,0,0,0,0,0,-27.54,23.63,28.19
0.1, x-dummy-plane,236, C6,-27.62,86.88,0,0,0,0,0,0,-27.62,24.5,25.89
0.1, x-dummy-plane,235, C6,-27.71,86.88,0,0,0,0,0,0,-27.71,25.38,23.6
0.1, x-dummy-plane,347, C6,27.71,81.68,0,0,0,0,0,0,27.71,-22.23,-21.06
0.1, x-dummy-plane,59, C6,-27.73,75.99,0,0,0,0,0,0,-27.73,24.38,-24.69
0.1, x-dummy-plane,339, C6,27.73,81.68,0,0,0,0,0,0,27.73,-24.96,-24.33
0.1, x-dummy-plane,324, C6,27.75,81.68,0,0,0,0,0,0,27.75,-27.68,-27.59
0.1, x-dummy-plane,201, C6,27.77,81.32,0,0,0,0,0,0,27.77,-24.92,24.52
0.1, x-dummy-plane,316, C6,27.77,81.68,0,0,0,0,0,0,27.77,-30.41,-30.86
0.1, x-dummy-plane,241, C6,-27.79,86.88,0,0,0,0,0,0,-27.79,26.26,21.31
0.1, x-dummy-plane,240, C6,-27.88,86.88,0,0,0,0,0,0,-27.88,27.13,19.02
0.1, x-dummy-plane,43, C6,-28,75.99,0,0,0,0,0,0,-28,28.19,-19.44
0.1, x-dummy-plane,207, C6,28.21,81.32,0,0,0,0,0,0,28.21,-20.96,23.04
0.1, x-dummy-plane,126, C6,28.31,72.25,0,0,0,0,0,0,28.31,2.7,29.78
0.1, x-dummy-plane,189, C6,28.31,81.32,0,0,0,0,0,0,28.31,-31.04,26.62
